Date,Train_Predictions,Test_Predictions
2019-05-10,0.03136606141924858,
2019-05-11,0.030967341735959053,
2019-05-12,0.031287651509046555,
2019-05-13,0.03209852799773216,
2019-05-14,0.03322857990860939,
2019-05-15,0.034895751625299454,
2019-05-16,0.03729310259222984,
2019-05-17,0.039930518716573715,
2019-05-18,0.042801354080438614,
2019-05-19,0.045532677322626114,
2019-05-20,0.04823828116059303,
2019-05-21,0.05066128075122833,
2019-05-22,0.05252198129892349,
2019-05-23,0.05392196774482727,
2019-05-24,0.05482439324259758,
2019-05-25,0.055182814598083496,
2019-05-26,0.05479203909635544,
2019-05-27,0.054082419723272324,
2019-05-28,0.05324554443359375,
2019-05-29,0.05240778625011444,
2019-05-30,0.051641009747982025,
2019-05-31,0.05118333920836449,
2019-06-01,0.050959959626197815,
2019-06-02,0.05092679709196091,
2019-06-03,0.05098070949316025,
2019-06-04,0.05131882429122925,
2019-06-05,0.05191367119550705,
2019-06-06,0.052498675882816315,
2019-06-07,0.052966609597206116,
2019-06-08,0.05330586060881615,
2019-06-09,0.053561847656965256,
2019-06-10,0.05391114577651024,
2019-06-11,0.05386322736740112,
2019-06-12,0.053518012166023254,
2019-06-13,0.05308804288506508,
2019-06-14,0.05229981616139412,
2019-06-15,0.05064820498228073,
2019-06-16,0.048538267612457275,
2019-06-17,0.046073708683252335,
2019-06-18,0.04366016387939453,
2019-06-19,0.04101620614528656,
2019-06-20,0.038525715470314026,
2019-06-21,0.03645706921815872,
2019-06-22,0.03516077250242233,
2019-06-23,0.03459381312131882,
2019-06-24,0.034552253782749176,
2019-06-25,0.03485119342803955,
2019-06-26,0.03518925979733467,
2019-06-27,0.035681113600730896,
2019-06-28,0.03728669881820679,
2019-06-29,0.03947772458195686,
2019-06-30,0.04160723090171814,
2019-07-01,0.043885380029678345,
2019-07-02,0.04594115912914276,
2019-07-03,0.04759432002902031,
2019-07-04,0.04858967289328575,
2019-07-05,0.04917299374938011,
2019-07-06,0.049406491219997406,
2019-07-07,0.04938674345612526,
2019-07-08,0.049354929476976395,
2019-07-09,0.04926885664463043,
2019-07-10,0.04897889122366905,
2019-07-11,0.04870849847793579,
2019-07-12,0.048775143921375275,
2019-07-13,0.04887961596250534,
2019-07-14,0.0490029975771904,
2019-07-15,0.05032195523381233,
2019-07-16,0.05211293324828148,
2019-07-17,0.05467946454882622,
2019-07-18,0.057494357228279114,
2019-07-19,0.06026417762041092,
2019-07-20,0.06260903924703598,
2019-07-21,0.06442588567733765,
2019-07-22,0.0653470829129219,
2019-07-23,0.06549474596977234,
2019-07-24,0.06514771282672882,
2019-07-25,0.0645507276058197,
2019-07-26,0.06382379680871964,
2019-07-27,0.0628964751958847,
2019-07-28,0.06141548231244087,
2019-07-29,0.05966172739863396,
2019-07-30,0.057917624711990356,
2019-07-31,0.05609668418765068,
2019-08-01,0.0545736588537693,
2019-08-02,0.053427550941705704,
2019-08-03,0.05255840718746185,
2019-08-04,0.051893480122089386,
2019-08-05,0.05144040659070015,
2019-08-06,0.05134035646915436,
2019-08-07,0.051286954432725906,
2019-08-08,0.051244672387838364,
2019-08-09,0.05124308913946152,
2019-08-10,0.05122058093547821,
2019-08-11,0.05100036412477493,
2019-08-12,0.05078468099236488,
2019-08-13,0.05060457065701485,
2019-08-14,0.049093957990407944,
2019-08-15,0.04769322648644447,
2019-08-16,0.045461203902959824,
2019-08-17,0.04286511242389679,
2019-08-18,0.040071967989206314,
2019-08-19,0.03769901767373085,
2019-08-20,0.03592908754944801,
2019-08-21,0.03479244187474251,
2019-08-22,0.03425426408648491,
2019-08-23,0.03418288379907608,
2019-08-24,0.03441218286752701,
2019-08-25,0.034811872988939285,
2019-08-26,0.03530719876289368,
2019-08-27,0.03565853089094162,
2019-08-28,0.03587484732270241,
2019-08-29,0.03630729019641876,
2019-08-30,0.03683837875723839,
2019-08-31,0.03723914176225662,
2019-09-01,0.03757523000240326,
2019-09-02,0.037831224501132965,
2019-09-03,0.03808964043855667,
2019-09-04,0.038322415202856064,
2019-09-05,0.03830207884311676,
2019-09-06,0.038096968084573746,
2019-09-07,0.03781772404909134,
2019-09-08,0.037707727402448654,
2019-09-09,0.0376259870827198,
2019-09-10,0.0375608392059803,
2019-09-11,0.03735700249671936,
2019-09-12,0.03708414360880852,
2019-09-13,0.036829158663749695,
2019-09-14,0.03577084839344025,
2019-09-15,0.03451702743768692,
2019-09-16,0.033292319625616074,
2019-09-17,0.03234076127409935,
2019-09-18,0.03174023702740669,
2019-09-19,0.03130698576569557,
2019-09-20,0.03107953444123268,
2019-09-21,0.03080924041569233,
2019-09-22,0.030554214492440224,
2019-09-23,0.030372362583875656,
2019-09-24,0.030414069071412086,
2019-09-25,0.032511625438928604,
2019-09-26,0.03556741029024124,
2019-09-27,0.03884162753820419,
2019-09-28,0.041681449860334396,
2019-09-29,0.04388197511434555,
2019-09-30,0.04544825106859207,
2019-10-01,0.04654652252793312,
2019-10-02,0.04721582308411598,
2019-10-03,0.04746430367231369,
2019-10-04,0.04745849221944809,
2019-10-05,0.047263648360967636,
2019-10-06,0.04695328697562218,
2019-10-07,0.04657869413495064,
2019-10-08,0.046185869723558426,
2019-10-09,0.04580356553196907,
2019-10-10,0.04564473032951355,
2019-10-11,0.04562199488282204,
2019-10-12,0.04579778388142586,
2019-10-13,0.04605458304286003,
2019-10-14,0.04632757976651192,
2019-10-15,0.04653163626790047,
2019-10-16,0.04670746251940727,
2019-10-17,0.046795353293418884,
2019-10-18,0.04663858935236931,
2019-10-19,0.04636414349079132,
