Date,Train_Predictions,Test_Predictions
2019-05-10,0.021284038200974464,
2019-05-11,0.02102980948984623,
2019-05-12,0.021758124232292175,
2019-05-13,0.023135926574468613,
2019-05-14,0.02541234903037548,
2019-05-15,0.027988702058792114,
2019-05-16,0.030396010726690292,
2019-05-17,0.032598722726106644,
2019-05-18,0.03482493385672569,
2019-05-19,0.03681314364075661,
2019-05-20,0.03903057798743248,
2019-05-21,0.04116431996226311,
2019-05-22,0.042946264147758484,
2019-05-23,0.04441579058766365,
2019-05-24,0.04547940939664841,
2019-05-25,0.04609449580311775,
2019-05-26,0.0461476594209671,
2019-05-27,0.04602957144379616,
2019-05-28,0.04576699063181877,
2019-05-29,0.04545292258262634,
2019-05-30,0.04512675479054451,
2019-05-31,0.044963378459215164,
2019-06-01,0.04489825293421745,
2019-06-02,0.04490893334150314,
2019-06-03,0.04489465430378914,
2019-06-04,0.04514453187584877,
2019-06-05,0.0457407608628273,
2019-06-06,0.04643242806196213,
2019-06-07,0.047096408903598785,
2019-06-08,0.04766130819916725,
2019-06-09,0.0480894111096859,
2019-06-10,0.04842961207032204,
2019-06-11,0.0480496920645237,
2019-06-12,0.04729127138853073,
2019-06-13,0.04576652869582176,
2019-06-14,0.043998993933200836,
2019-06-15,0.042421866208314896,
2019-06-16,0.041045088320970535,
2019-06-17,0.03963858261704445,
2019-06-18,0.03843330219388008,
2019-06-19,0.03676459565758705,
2019-06-20,0.03502723202109337,
2019-06-21,0.033496201038360596,
2019-06-22,0.03234756737947464,
2019-06-23,0.03167271241545677,
2019-06-24,0.03139210119843483,
2019-06-25,0.03138471767306328,
2019-06-26,0.031509701162576675,
2019-06-27,0.03217843174934387,
2019-06-28,0.03443038463592529,
2019-06-29,0.03773259371519089,
2019-06-30,0.04125848785042763,
2019-07-01,0.045032549649477005,
2019-07-02,0.04850896820425987,
2019-07-03,0.05136897787451744,
2019-07-04,0.05362948030233383,
2019-07-05,0.05522488057613373,
2019-07-06,0.056241974234580994,
2019-07-07,0.056745003908872604,
2019-07-08,0.05683396756649017,
2019-07-09,0.05676737800240517,
2019-07-10,0.05645596981048584,
2019-07-11,0.05608891323208809,
2019-07-12,0.055949095636606216,
2019-07-13,0.05593802407383919,
2019-07-14,0.05607224628329277,
2019-07-15,0.0566750206053257,
2019-07-16,0.057542745023965836,
2019-07-17,0.05920852720737457,
2019-07-18,0.06103905662894249,
2019-07-19,0.06301011145114899,
2019-07-20,0.0647752583026886,
2019-07-21,0.0661679059267044,
2019-07-22,0.06702173501253128,
2019-07-23,0.06735342741012573,
2019-07-24,0.06737402081489563,
2019-07-25,0.06716702878475189,
2019-07-26,0.06663618236780167,
2019-07-27,0.06554321199655533,
2019-07-28,0.06348281353712082,
2019-07-29,0.06068023294210434,
2019-07-30,0.05784570798277855,
2019-07-31,0.05494362488389015,
2019-08-01,0.05249035730957985,
2019-08-02,0.05061995983123779,
2019-08-03,0.04885779321193695,
2019-08-04,0.04729991778731346,
2019-08-05,0.04607461020350456,
2019-08-06,0.04546734318137169,
2019-08-07,0.04532088339328766,
2019-08-08,0.04533915966749191,
2019-08-09,0.045467015355825424,
2019-08-10,0.045634858310222626,
2019-08-11,0.04570396617054939,
2019-08-12,0.04566960781812668,
2019-08-13,0.04554525762796402,
2019-08-14,0.04493097588419914,
2019-08-15,0.044295087456703186,
2019-08-16,0.0426950566470623,
2019-08-17,0.040778353810310364,
2019-08-18,0.038361940532922745,
2019-08-19,0.03598545864224434,
2019-08-20,0.034074217081069946,
2019-08-21,0.03265993669629097,
2019-08-22,0.03189712390303612,
2019-08-23,0.03151501342654228,
2019-08-24,0.031467318534851074,
2019-08-25,0.0316719152033329,
2019-08-26,0.03202147036790848,
2019-08-27,0.03235068544745445,
2019-08-28,0.03267746418714523,
2019-08-29,0.03309992328286171,
2019-08-30,0.03357443958520889,
2019-08-31,0.033882997930049896,
2019-09-01,0.03400341048836708,
2019-09-02,0.03401269018650055,
2019-09-03,0.034129660576581955,
2019-09-04,0.03432369604706764,
2019-09-05,0.03417005389928818,
2019-09-06,0.03380422294139862,
2019-09-07,0.03325267881155014,
2019-09-08,0.0326850451529026,
2019-09-09,0.032172057777643204,
2019-09-10,0.03164348006248474,
2019-09-11,0.031169798225164413,
2019-09-12,0.0307881161570549,
2019-09-13,0.03043627180159092,
2019-09-14,0.029660802334547043,
2019-09-15,0.028704749420285225,
2019-09-16,0.027754027396440506,
2019-09-17,0.026912203058600426,
2019-09-18,0.026224864646792412,
2019-09-19,0.025457946583628654,
2019-09-20,0.02473938651382923,
2019-09-21,0.023816894739866257,
2019-09-22,0.022921331226825714,
2019-09-23,0.02207775041460991,
2019-09-24,0.02142660692334175,
2019-09-25,0.022063501179218292,
2019-09-26,0.023351388052105904,
2019-09-27,0.024981295689940453,
2019-09-28,0.026583800092339516,
2019-09-29,0.02797015756368637,
2019-09-30,0.029072226956486702,
2019-10-01,0.029932959005236626,
2019-10-02,0.030532751232385635,
2019-10-03,0.03060290589928627,
2019-10-04,0.030270958319306374,
2019-10-05,0.029736284166574478,
2019-10-06,0.02913110889494419,
2019-10-07,0.028544316068291664,
2019-10-08,0.028107380494475365,
2019-10-09,0.02780386060476303,
2019-10-10,0.02779991738498211,
2019-10-11,0.02795059233903885,
2019-10-12,0.028210673481225967,
2019-10-13,0.02844822034239769,
2019-10-14,0.028652213513851166,
2019-10-15,0.028822623193264008,
2019-10-16,0.028963208198547363,
2019-10-17,0.029079442843794823,
2019-10-18,0.029182083904743195,
2019-10-19,0.02926911599934101,
